# Three-point probabilities for autosomes in 4-way RILs by sibling mating
# Note that these are for the minimal set of states.
# These are for the case of no crossover interference.
#
#
rf,coi,AAA,AAB,ABA,AAC,ACA,ABC,ACB
0.0203725261932480,1,0.797266712725691,0.063093261258097,0.002620431990458,0.124530989631539,0.006896396865512,0.004279982637498,0.001312224876409
0.0210280373831776,1,0.791882578504574,0.064635808621840,0.002761192452210,0.127532644319916,0.007261357828095,0.004530603146966,0.001395815111605
0.0216881594372802,1,0.786519374544213,0.066164853863570,0.002905046860972,0.130505940609092,0.007633860839912,0.004788537884450,0.001482385383194
0.0223529411764706,1,0.781176980674723,0.067680460887893,0.003051954250112,0.133451054933931,0.008013775342001,0.005053804878596,0.001571969018362
0.0230224321133412,1,0.775855278764270,0.069182692371495,0.003201874111459,0.136368160880991,0.008400972084815,0.005326422469013,0.001664599303503
0.023696682464455,1,0.770554152691914,0.070671609779090,0.003354766387972,0.139257429227914,0.008795323106124,0.005606409305156,0.001760309487446
0.0243757431629013,1,0.765273488320134,0.072147273378913,0.003510591466552,0.142119027981738,0.009196701709100,0.005893784344873,0.001859132784392
0.0250596658711217,1,0.760013173468153,0.073609742257977,0.003669310171038,0.144953122416752,0.009604982441197,0.006188566853542,0.001961102377175
0.0257485029940120,1,0.754773097886195,0.075059074336983,0.003830883755294,0.147759875111392,0.010020041073093,0.006490776402753,0.002066251420096
0.0264423076923077,1,0.749553153230726,0.076495326384976,0.003995273896427,0.150539445984538,0.010441754578201,0.006800432869192,0.002174613041892
0.0271411338962606,1,0.744353233038265,0.077918554033568,0.004162442688200,0.153291992330819,0.010870001112634,0.007117556433737,0.002286220348714
0.0278450363196126,1,0.739173232702121,0.079328811791021,0.004332352634520,0.156017668855560,0.011304659995452,0.007442167580357,0.002401106426939
0.0285540704738761,1,0.734013049448149,0.080726153055955,0.004504966643067,0.158716627708653,0.011745611689296,0.007774287095034,0.002519304345892
0.0292682926829268,1,0.728872582311051,0.082110630130743,0.004680248019061,0.161389018518003,0.012192737781516,0.008113936064974,0.002640847160751
0.0299877600979192,1,0.723751732112093,0.083482294234731,0.004858160459156,0.164034988422175,0.012645920965532,0.008461135877582,0.002765767915158
0.0307125307125307,1,0.718650401435808,0.084841195517029,0.005038668045418,0.166654682102253,0.013105045022569,0.008815908219472,0.002894099643846
0.031442663378545,1,0.713568494609459,0.086187383069816,0.005221735239897,0.169248241814633,0.013569994804803,0.009178275077486,0.003025875376260
0.0321782178217822,1,0.708505917678606,0.087520904937815,0.005407326876806,0.171815807415674,0.014040656213484,0.009548258729327,0.003161128134705
0.0329192546583851,1,0.703462578390556,0.088841808135982,0.005595408160975,0.174357516403517,0.014516916190323,0.009925881759524,0.003299890945553
0.0336658354114713,1,0.698438386169507,0.090150138655827,0.005785944658237,0.176873503935875,0.014998662692171,0.010311167041881,0.003442196833068
0.0344180225281602,1,0.693433252098486,0.091445941480213,0.005978902292411,0.179363902865715,0.015485784679539,0.010704137748567,0.003588078826943
0.0351758793969849,1,0.688447088897989,0.092729260591771,0.006174247337785,0.181828843763214,0.015978172095818,0.011104817340279,0.003737569959992
0.0359394703656999,1,0.683479810909027,0.094000138988902,0.006371946417545,0.184268454953797,0.016475715859022,0.011513229580318,0.003890703278168
0.0367088607594937,1,0.678531334071965,0.095258618691812,0.006571966495053,0.186682862534910,0.016978307838733,0.011929398519095,0.004047511835208
0.0374841168996188,1,0.673601575908671,0.096504740755557,0.006774274870681,0.189072190407721,0.017485840844669,0.012353348500806,0.004208028698721
0.038265306122449,1,0.668690455504264,0.097738545280044,0.006978839176556,0.191436560302042,0.017998208611077,0.012785104161288,0.004372286951640
0.0390524967989757,1,0.663797893489244,0.098960071420222,0.007185627371786,0.193776091801793,0.018515305782137,0.013224690427344,0.004540319694367
0.0398457583547558,1,0.658923812022219,0.100169357396161,0.007394607737780,0.196090902370050,0.019037027897742,0.013672132516128,0.004712160046948
0.0406451612903226,1,0.654068134772657,0.101366440503180,0.007605748873951,0.198381107374134,0.019563271380095,0.014127455935646,0.004887841151734
0.0414507772020725,1,0.649230786903012,0.102551357119354,0.007819019691787,0.200646820105143,0.020093933517058,0.014590686478348,0.005067396172417
0.0422626788036411,1,0.644411695055562,0.103724142719275,0.008034389413350,0.202888151810420,0.020628912454751,0.015061850232033,0.005250858301976
0.0430809399477807,1,0.639610787332345,0.104884831878736,0.008251827564091,0.205105211707084,0.021168107178503,0.015540973567767,0.005438260758709
0.0439056356487549,1,0.634827993282818,0.106033458286593,0.008471303970367,0.207298107010304,0.021711417503566,0.016028083146010,0.005629636791593
0.0447368421052632,1,0.630063243885133,0.107170054750772,0.008692788753730,0.209466942949558,0.022258744059373,0.016523205909870,0.005825019678969
0.0455746367239102,1,0.625316471535154,0.108294653211273,0.008916252329504,0.211611822798952,0.022809988282520,0.017026369094520,0.006024442735494
0.0464190981432361,1,0.620587610028402,0.109407284744355,0.009141665400279,0.213732847889565,0.023365052399620,0.017537600216608,0.006227939308765
0.0472703062583223,1,0.615876594546866,0.110507979572852,0.009368998953358,0.215830117634152,0.023923839418193,0.018056927078661,0.006435542783584
0.0481283422459893,1,0.611183361645010,0.111596767073906,0.009598224256749,0.217903729546470,0.024486253114757,0.018584377767502,0.006647286583109
0.0489932885906040,1,0.606507849236244,0.112673675786918,0.009829312855514,0.219953779261064,0.025052198023712,0.019119980653672,0.006863204170479
0.0498652291105121,1,0.601849996578667,0.113738733421154,0.010062236568182,0.221980360552155,0.025621579426438,0.019663764390814,0.007083329050357
0.050744248985115,1,0.597209744262557,0.114791966863823,0.010296967483477,0.223983565353405,0.026194303341137,0.020215757915880,0.007307694770845
0.0516304347826087,1,0.592587034196375,0.115833402185481,0.010533477955861,0.225963483772190,0.026770276510405,0.020775990444525,0.007536334922906
0.0525238744884038,1,0.587981809596742,0.116863064651312,0.010771740604325,0.227920204115800,0.027349406395392,0.021344491478493,0.007769283145857
0.0534246575342466,1,0.583394014972991,0.117880978724134,0.011011728307036,0.229853812900497,0.027931601161763,0.021921290796975,0.008006573124626
0.0543328748280605,1,0.578823596117407,0.118887168073851,0.011253414199445,0.231764394873846,0.028516769672669,0.022506418460665,0.008248238593435
0.0552486187845304,1,0.574270500091227,0.119881655581755,0.011496771670035,0.233652033026327,0.029104821477166,0.023099904806771,0.008494313334823
0.0561719833564494,1,0.569734675216509,0.120864463351269,0.011741774359272,0.235516808615980,0.029695666805017,0.023701780455456,0.008744831184479
0.0571030640668524,1,0.565216071061950,0.121835612710441,0.011988396154775,0.237358801176197,0.030289216554153,0.024312076302015,0.008999826028695
0.058041958041958,1,0.560714638432588,0.122795124220139,0.012236611189438,0.239178088535017,0.030885382284059,0.024930823519677,0.009259331807234
0.0589887640449438,1,0.556230329360069,0.123743017680117,0.012486393838525,0.240974746829940,0.031484076207250,0.025558053558223,0.009523382513997
0.0599435825105783,1,0.551763097091418,0.124679312134948,0.012737718716998,0.242748850522511,0.032085211181293,0.026193798143154,0.009792012197915
0.0609065155807366,1,0.547312896078708,0.125604025879953,0.012990560676938,0.244500472412602,0.032688700701114,0.026838089274925,0.010065254963829
0.0618776671408251,1,0.542879681970474,0.126517176467692,0.013244894805250,0.246229683653820,0.033294458891996,0.027490959228772,0.010343144973619
0.0628571428571429,1,0.538463411598540,0.127418780711001,0.013500696420308,0.247936553761957,0.033902400500611,0.028152440550550,0.010625716445263
0.063845050215208,1,0.534064042974173,0.128308854693535,0.013757941071479,0.249621150638244,0.034512440891722,0.028822566062395,0.010913003656802
0.0648414985590778,1,0.529681535273650,0.129187413770315,0.014016604535027,0.251283540572553,0.035124496038038,0.029501368855231,0.011205040943607
0.0658465991316932,1,0.525315848832266,0.130054472576011,0.014276662813047,0.252923788261985,0.035738482516014,0.030188882291707,0.011501862700868
0.0668604651162791,1,0.520966945132920,0.130910045027179,0.014538092130281,0.254541956817108,0.036354317497722,0.030885140001268,0.011803503382041
0.0678832116788321,1,0.516634786802044,0.131754144332246,0.014800868933948,0.256138107783765,0.036971918748526,0.031590175885564,0.012109997502455
0.0689149560117302,1,0.512319337596758,0.132586782991587,0.015064969889986,0.257712301144865,0.037591204618174,0.032304024110837,0.012421379636306
0.0699558173784978,1,0.508020562399284,0.133407972804854,0.015330371882139,0.259264595336559,0.038212094037318,0.033026719109969,0.012737684418452
